id,name,water_type,image_url,description
46,בורי,מים מתוקים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/buri.png,
52,ברמונדי,מים מתוקים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/barramundi.png,
51,מושט (אמנון),מים מתוקים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/musht.png,
56,נסיכת נילוס,מים מתוקים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/nesihat-nilus.png,
53,פורל,מים מתוקים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/forel.png,
54,קרפיון,מים מתוקים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/karpion.png,
50,אינטיאס,פרימיום,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/intias.png,
55,טונה אדומה,פרימיום,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/tuna-aduma.png,
45,סלמון,פרימיום,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/salmon.png,
43,ברבוניה,דגי ים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/barbunya.png,
42,דניס,דגי ים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/denis.png,
48,לברק,דגי ים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/lavrak.png,
44,לוקוס לבן,דגי ים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/lokus-lavan.png,
47,מוסר ים,דגי ים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/musar-yam.png,
49,פרידה,דגי ים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/fish/frida.png,
